Flight_number,Date,BoosterVersion,payloadMass,Orbit,LaunchSite,Longitude,Latitude,Serial,ReusedCount,Block,Outcome,Flights,GridFins,Legs,Reused,LandingPad,Success
45,2017-08-14,Falcon 9,2910.0,ISS,KSC LC 39A,-80.6039558,28.6080585,B1039,1,4.0,True RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
46,2017-08-24,Falcon 9,475.0,SSO,VAFB SLC 4E,-120.610829,34.632093,B1038,1,3.0,True ASDS,1,True,True,False,5e9e3033383ecbb9e534e7cc,True
47,2017-09-07,Falcon 9,4990.0,LEO,KSC LC 39A,-80.6039558,28.6080585,B1040,1,4.0,True RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
48,2017-10-09,Falcon 9,9600.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1041,1,4.0,True ASDS,1,True,True,False,5e9e3033383ecbb9e534e7cc,True
49,2017-10-11,Falcon 9,5200.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1031,1,3.0,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,True
50,2017-10-30,Falcon 9,3700.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1042,0,4.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
51,2017-12-15,Falcon 9,2205.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1035,1,3.0,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,True
52,2017-12-23,Falcon 9,9600.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1036,1,3.0,True Ocean,2,True,False,True,,True
53,2018-01-08,Falcon 9,,LEO,CCSFS SLC 40,-80.577366,28.5618571,B1043,1,4.0,True RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
54,2018-01-31,Falcon 9,4230.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1032,1,3.0,True Ocean,2,True,True,True,,True
57,2018-03-06,Falcon 9,6092.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1044,0,4.0,None None,1,True,True,False,,True
58,2018-03-30,Falcon 9,9600.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1041,1,4.0,None None,2,True,True,True,,True
59,2018-04-02,Falcon 9,2760.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1039,1,4.0,None None,2,True,True,True,,True
60,2018-04-18,Falcon 9,350.0,HEO,CCSFS SLC 40,-80.577366,28.5618571,B1045,1,4.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
61,2018-05-11,Falcon 9,3750.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1046,3,5.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
63,2018-06-04,Falcon 9,5383.85,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1040,1,4.0,None None,2,False,False,True,,True
64,2018-06-29,Falcon 9,2410.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1045,1,4.0,None None,2,False,False,True,,True
65,2018-07-22,Falcon 9,7076.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1047,2,5.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
66,2018-07-25,Falcon 9,9600.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1048,4,5.0,True ASDS,1,True,True,False,5e9e3033383ecbb9e534e7cc,True
67,2018-08-07,Falcon 9,5800.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1046,3,5.0,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,True
68,2018-09-10,Falcon 9,7060.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1049,9,5.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
69,2018-10-08,Falcon 9,2800.0,SSO,VAFB SLC 4E,-120.610829,34.632093,B1048,4,5.0,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,True
70,2018-11-15,Falcon 9,3000.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1047,2,5.0,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,True
71,2018-12-03,Falcon 9,4000.0,SSO,VAFB SLC 4E,-120.610829,34.632093,B1046,3,5.0,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,True
72,2018-12-05,Falcon 9,2573.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1050,0,5.0,False RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
73,2018-12-23,Falcon 9,4400.0,MEO,CCSFS SLC 40,-80.577366,28.5618571,B1054,0,5.0,None None,1,False,False,False,,True
74,2019-01-11,Falcon 9,9600.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1049,9,5.0,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,True
76,2019-03-02,Falcon 9,12259.0,ISS,KSC LC 39A,-80.6039558,28.6080585,B1051,12,5.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
78,2019-05-04,Falcon 9,2482.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1056,3,5.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
79,2019-05-24,Falcon 9,13200.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1049,9,5.0,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,True
80,2019-06-12,Falcon 9,1425.0,SSO,VAFB SLC 4E,-120.610829,34.632093,B1051,12,5.0,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,True
82,2019-07-25,Falcon 9,2227.7,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1056,3,5.0,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,True
83,2019-08-06,Falcon 9,6500.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1047,2,5.0,None None,3,False,False,True,,True
84,2019-11-11,Falcon 9,15600.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1048,4,5.0,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,True
85,2019-12-05,Falcon 9,5000.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1059,5,5.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
86,2019-12-17,Falcon 9,6800.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1056,3,5.0,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,True
87,2020-01-07,Falcon 9,15600.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1049,9,5.0,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,True
88,2020-01-19,Falcon 9,,SO,KSC LC 39A,-80.6039558,28.6080585,B1046,3,5.0,None None,4,False,False,True,,True
89,2020-01-29,Falcon 9,15600.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1051,12,5.0,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,True
90,2020-02-17,Falcon 9,15600.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1056,3,5.0,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,True
91,2020-03-07,Falcon 9,1977.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1059,5,5.0,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,True
92,2020-03-18,Falcon 9,15600.0,VLEO,KSC LC 39A,-80.6039558,28.6080585,B1048,4,5.0,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,True
93,2020-04-22,Falcon 9,15600.0,VLEO,KSC LC 39A,-80.6039558,28.6080585,B1051,12,5.0,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,True
94,2020-05-30,Falcon 9,9525.0,ISS,KSC LC 39A,-80.6039558,28.6080585,B1058,13,5.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
95,2020-06-04,Falcon 9,15600.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1049,9,5.0,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,True
96,2020-06-13,Falcon 9,15600.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1059,5,5.0,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,True
97,2020-06-30,Falcon 9,3880.0,MEO,CCSFS SLC 40,-80.577366,28.5618571,B1060,12,5.0,True ASDS,1,True,True,False,5e9e3033383ecbb9e534e7cc,True
98,2020-07-20,Falcon 9,,GEO,CCSFS SLC 40,-80.577366,28.5618571,B1058,13,5.0,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,True
100,2020-08-18,Falcon 9,15600.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1049,9,5.0,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,True
101,2020-08-30,Falcon 9,1600.0,SSO,CCSFS SLC 40,-80.577366,28.5618571,B1059,5,5.0,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,True
102,2020-09-03,Falcon 9,15600.0,VLEO,KSC LC 39A,-80.6039558,28.6080585,B1060,12,5.0,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,True
103,2020-10-06,Falcon 9,15600.0,VLEO,KSC LC 39A,-80.6039558,28.6080585,B1058,13,5.0,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,True
104,2020-10-18,Falcon 9,15600.0,VLEO,KSC LC 39A,-80.6039558,28.6080585,B1051,12,5.0,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,True
105,2020-10-24,Falcon 9,15600.0,VLEO,CCSFS SLC 40,-80.577366,28.5618571,B1060,12,5.0,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,True
106,2020-11-05,Falcon 9,3681.0,MEO,CCSFS SLC 40,-80.577366,28.5618571,B1062,8,5.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
